local_id,source_key,title,authors,first_author,year,doi,pmid,pmcid,arxiv,venue,volume,issue,pages,publisher,lang,url,confidence,status,provenance,last_checked,parents,abstract,keywords,open_access,doc_type,hit_openalex,hit_crossref,hit_semanticscholar,match_strategy,winner_source,field_sources,filled_by_source_counts,resolver_notes,el_outcome,el_failed_ids,el_missing_ids,el_met_ids,el_uncertain_ids,el_evidence_json,el_reason_summary
A074,101080107490392012755205,Locating Social and Emotional Learning in Schooled Environments: A Vygotskian Perspective on Learning as Unified,Jennifer A. Vadeboncoeur; Rebecca J. Collie,Jennifer A. Vadeboncoeur,2012.0,10.1080/10749039.2012.755205,,,,"Mind, Culture, and Activity",20,3,201-225,Informa UK Limited,en,https://doi.org/10.1080/10749039.2012.755205,0.9,resolved,openalex,2026-08-16T22:29:46Z,X002,"This article contributes to the emerging literature on social and emotional learning (SEL) from a Vygotskian perspective. A critical perspective on SEL in the context of schooling in the United States situates current interest in SEL programs. Vygotsky's foundational work from the 1920s and 1930s is used to clarify learning as unified, and the concept of feeling is elaborated with literature relevant to learning in school environments and across the life course. Potential next steps for research are noted, in particular given the unity of speech, thinking, and feeling and the literature on the role of social speech and dialogue in learning and development.",Psychology; Feeling; Perspective (graphical); Intellect; Context (archaeology); Privilege (computing); Cognition; Cognitive science; Epistemology; Social psychology; Biology; Computer security,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X002.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A220,101002da1019,Heart rate and QT variability in children with anxiety disorders: A preliminary report,Vikram K. Yeragani; K.A. Radhakrishna Rao; Robert Pohl; V.C. Jampala; Richard Balon,Vikram K. Yeragani,2001.0,10.1002/da.1019,https://pubmed.ncbi.nlm.nih.gov/11301923,,,Depression and Anxiety,13,2,72-77,Hindawi Limited,en,https://doi.org/10.1002/da.1019,0.9,resolved,openalex,2026-08-16T22:31:18Z,X006,"This study compared beat-to-beat heart rate and QT variability in children with anxiety disorders (n = 7) and normal controls (n = 15) by using an automated algorithm to compute QT intervals. An increase in QT variability appears to be associated with a higher risk for sudden cardiac death. A decrease in heart rate variability is also linked to significant cardiovascular events. Supine detrended QT variability, QT variability corrected for mean QT interval, and QTvi (a log ratio of QT variance normalized for mean QT over heart rate variability normalized for mean heart rate) were significantly higher in children with anxiety compared to controls (P < 0.05). The largest Lyapunov Exponent (LLE) of heart rate time series was significantly lower (P < 0.05) in children with anxiety compared to controls. These findings suggest a relative increase in sympathetic activity and a relative decrease in cardiac vagal activity in children with anxiety disorders, and are discussed in the context of the effects of tricyclics on cardiac autonomic function in children, and the rare occurrence of sudden death during tricyclic antidepressant treatment.",Heart rate variability; QT interval; Heart rate; Anxiety; Cardiology; Internal medicine; Medicine; Sudden cardiac death; Supine position; Long QT syndrome; Sudden death; Electrocardiography,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_FLAGGED,,,H4-5,H4-6,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""UNCERTAIN"", ""decision"": ""meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": ""QT variability"", ""quote_valid"": true, ""span"": [121, 128], ""used"": true}}",PASS_FLAGGED: uncertain H4-6
A221,101093jpepsyjsq070,Self-Reported and Laboratory-Based Responses to Stress in Children with Recurrent Pain and Anxiety,Lynette Dufton; Madeleine J. Dunn; Laura S. Slosky; Bruce E. Compas,Lynette Dufton,2010.0,10.1093/jpepsy/jsq070,https://pubmed.ncbi.nlm.nih.gov/20736388,,,Journal of Pediatric Psychology,36,1,95-105,Oxford University Press (OUP),en,https://doi.org/10.1093/jpepsy/jsq070,0.9,resolved,openalex,2026-08-16T22:31:18Z,X006,"OBJECTIVE: To examine heart rate (HR) responses to and coping with stress in children with recurrent abdominal pain (RAP), anxiety, and healthy controls. METHODS: A clinical sample (children with RAP and children with anxiety) was compared to control children on self-reported and HR responses to stress and a laboratory test of pain tolerance and intensity (cold pressor). RESULTS: Children in the clinical sample had elevated HRs compared to healthy controls before, during, and after laboratory tasks. Self-reported stress reactivity to social stress was positively correlated with HR at all study time intervals. Secondary control coping with social stress was negatively correlated with HR at most study time intervals. Internalizing symptoms were positively correlated with HR and self-reported stress reactivity. CONCLUSIONS: Stress reactivity, as reflected in both self-reported and HR responses to laboratory stressors, is related to the presence of both RAP and anxiety in children.",Stressor; Anxiety; Cold pressor test; Coping (psychology); Heart rate; Psychology; Clinical psychology; Reactivity (psychology); Social stress; Pain tolerance; Medicine; Internal medicine,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.7, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A223,101111j165122272001tb02425x,Personality profiles and heart rate variability (vagal tone) in children with recurrent abdominal pain,E Olafsdottir; Bjørn Ellertsen; Arnold Berstad; G Fluge,E Olafsdottir,2001.0,10.1111/j.1651-2227.2001.tb02425.x,https://pubmed.ncbi.nlm.nih.gov/11440095,,,Acta Paediatrica,90,6,632-637,Wiley,en,https://doi.org/10.1111/j.1651-2227.2001.tb02425.x,0.9,resolved,openalex,2026-08-16T22:31:21Z,X006,"UNLABELLED: The aim of the study was to explore psychological factors and autonomic activity in children with recurrent abdominal pain and to compare them with those in a control group of healthy children. The Personality Inventory for Children was used for assessment of developmental, emotional and psychosocial factors in 25 children with recurrent abdominal pain (age, 7-15 y). Parasympathetic and sympathetic functions in these children and in 23 healthy control subjects (age, 7-13 y) were also investigated, non-invasively using a computerized polygraph. Vagal tone (parasympathetic function) was indexed by calculation of respiratory sinus arrhythmia in beats/min. Skin conductance (sympathetic function) was recorded by the constant current method. On the Personality Inventory for Children, 16 patients had high scores on somatic concern. Several patients had scores in the clinical range for depression, withdrawal and anxiety, but the mean scores for these personality profile scales were well within the normal range of healthy children. Interestingly, there was a spike on the L (Lie)-scale for most of the patients and 15 patients had scores above or close to the clinical cut-off value. As compared with the scores in healthy children, vagal tone and sympathetic tone were normal. CONCLUSION: Many children with recurrent abdominal pain have scores in the clinical range for depression, withdrawal, anxiety and L-scale indicating coping problems, denial and a trend towards somatic concern that may contribute to the evolution of abdominal pain. Autonomic nerve activity was not disturbed in these children.",Vagal tone; Medicine; Eysenck Personality Questionnaire; Anxiety; Heart rate variability; Heart rate; Psychosocial; Personality; Autonomic nervous system; Anesthesia; Internal medicine; Psychiatry,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_FLAGGED,,,H4-5,H4-6,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""UNCERTAIN"", ""decision"": ""meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": ""vagal tone"", ""quote_valid"": true, ""span"": [113, 121], ""used"": true}}",PASS_FLAGGED: uncertain H4-6
A228,101002da1039,"Yeragani VK, Radhakrishna Rao KA, Pohl R, Jampala VC, Balon R. 2001. Heart rate and QT variability in children with anxiety disorders: A preliminary report. Depression and Anxiety 13:72-77",,,2001.0,10.1002/da.1039,,,,Depression and Anxiety,13,4,198-198,Hindawi Limited,en,https://doi.org/10.1002/da.1039,0.9,resolved,openalex,2026-08-16T22:31:25Z,X006,"In Table 3 of the article referenced above, the values of MED and LLE reflect a parallel algorithm used. However the correct values are presented in the following version of Table 3. The authors regret the oversight.",Anxiety; Regret; Depression (economics); Psychology; Psychiatry; Citation; Clinical psychology; Computer science; Library science; Machine learning; Economics; Macroeconomics,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""title"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.6, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A229,101080080352501750258685,Personality profiles and heart rate variability (vagal tone) in children with recurrent abdominal pain,E Olafsdottir; B Ellertsen; Arnold Berstad; G Fluge,E Olafsdottir,2001.0,10.1080/080352501750258685,,,,Acta Paediatrica,90,6,632-637,Wiley,en,https://doi.org/10.1080/080352501750258685,0.9,resolved,openalex,2026-08-16T22:31:26Z,X006,"The aim of the study was to explore psychological factors and autonomic activity in children with recurrent abdominal pain and to compare them with those in a control group of healthy children. The Personality Inventory for Children was used for assessment of developmental, emotional and psychosocial factors in 25 children with recurrent abdominal pain (age, 7–15 y). Parasympathetic and sympathetic functions in these children and in 23 healthy control subjects (age, 7–13 y) were also investigated, non-invasively using a computerized polygraph. Vagal tone (parasympathetic function) was indexed by calculation of respiratory sinus arrhythmia in beats/min. Skin conductance (sympathetic function) was recorded by the constant current method. On the Personality Inventory for Children, 16 patients had high scores on somatic concern. Several patients had scores in the clinical range for depression, withdrawal and anxiety, but the mean scores for these personality profile scales were well within the normal range of healthy children. Interestingly, there was a spike on the L (Lie)-scale for most of the patients and 15 patients had scores above or close to the clinical cut-off value. As compared with the scores in healthy children, vagal tone and sympathetic tone were normal. Conclusion: Many children with recurrent abdominal pain have scores in the clinical range for depression, withdrawal, anxiety and L-scale indicating coping problems, denial and a trend towards somatic concern that may contribute to the evolution of abdominal pain. Autonomic nerve activity was not disturbed in these children.",Vagal tone; Medicine; Eysenck Personality Questionnaire; Anxiety; Heart rate variability; Personality; Psychosocial; Autonomic nervous system; Heart rate; Anesthesia; Internal medicine; Psychiatry,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'heuristic'}","{'crossref': 6, 'heuristic': 1}","X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:HE | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A230,motherchildconcordanceforpainlocationinapediatricchronicpainsample,Mother-child concordance for pain location in a pediatric chronic pain sample,Lindsay F. Schwartz; Laura C. Seidman; Lonnie K. Zeltzer; Jennie C.I. Tsao,Lindsay F. Schwartz,2013.0,https://openalex.org/W2410925823,https://pubmed.ncbi.nlm.nih.gov/26413192,,,,,,,,en,,0.9,resolved,openalex,2026-08-16T22:31:26Z,X006,"Body maps have long been used to assess pain location in adult and pediatric chronic pain patients. Assessing agreement between parent and child reports of pain location using such maps may help establish a unified picture of children's pain experience. However, few studies have examined the extent of agreement between mothers and children on the location of the child's pain. Using kappa coefficients and other determinants of the magnitude of kappa we assessed mother-child concordance in pain location using body maps with 21 standardized areas in 41 children with chronic pain (65.9% female, mean age = 14.60) and their mothers. The highest level of agreement was found for the abdominal region; agreement for the head region was moderate and not superior to the other body areas. Approximately half of the body map areas yielded poor to fair mother-child agreement, while the other half yielded moderate or better agreement. There was more agreement between mothers and sons than between mothers and daughters on the total number of body areas considered painful, but there were no effects of pubertal status, race, and ethnicity on agreement. Our results are consistent with previous studies indicating that parent assessments of children's pain do not necessarily mimic their child's report. Future research should test additional psychosocial factors that may contribute to parent-child discordance regarding the location of the child's pain.",Concordance; Psychosocial; Medicine; Chronic pain; Kappa; Cohen's kappa; Pediatrics; Physical therapy; Psychiatry; Internal medicine; Linguistics; Philosophy,True,article,True,False,False,title,openalex,"{'doi': 'openalex', 'lang': 'heuristic'}","{'openalex': 1, 'heuristic': 1}",X006.R000 resolved | hits:OA | winner:openalex | filled:doi:OP; lang:HE | missing:-,PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A231,1011552014390368,Pubertal Status Moderates the Association between Mother and Child Laboratory Pain Tolerance,Jennie C.I. Tsao; Ning Li; Delana M. Parker; Laura C. Seidman; Lonnie K. Zeltzer,Jennie C.I. Tsao,2014.0,10.1155/2014/390368,https://pubmed.ncbi.nlm.nih.gov/24367794,,,Pain Research and Management,19,1,23-29,Wiley,en,https://doi.org/10.1155/2014/390368,0.9,resolved,openalex,2026-08-16T22:31:27Z,X006,"BACKGROUND: There is limited information regarding the relationship between parent and child responses to laboratory pain induction in the absence of experimental manipulation. OBJECTIVES: To assess the association between responses to cold and pressure pain tasks in 133 nonclinical mothers and children (mean age 13.0 years; 70 girls), and the moderating effects of child sex and pubertal status on these mother-child relationships. METHODS: Mothers and children independently completed the cold and pressure pain tasks. Multiple linear regression analyses examined the association between mothers' and children's laboratory pain responses. The moderating effects of child sex and pubertal status were tested in the linear models by examining the interaction among mother laboratory pain responses, and child sex and pubertal status. RESULTS: Mothers' cold pain anticipatory anxiety and pressure pain intensity were associated with children's pressure pain anticipatory anxiety. Mothers' pressure pain tolerance was associated with children's pain tolerance for both the cold and pressure pain tasks. Mothers' cold pain tolerance was associated with children's pressure pain tolerance. Pubertal status moderated two of the three significant mother-child pain tolerance relationships, such that the associations held for early pubertal but not for late pubertal children. Sex did not moderate mother-child pain associations. CONCLUSIONS: The results indicate that mother-child pain relationships are centred primarily on pain avoidance behaviour, particularly among prepubertal children. These findings may inform interventions focused on pain behaviours, with a particular emphasis on mothers of prepubertal children, to reduce acute pain responses in their children.",Pain tolerance; Association (psychology); Anxiety; Pain catastrophizing; Psychological intervention; Psychology; Clinical psychology; Medicine; Developmental psychology; Chronic pain; Threshold of pain; Physical therapy,True,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X006.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A233,101023bjoba00000074550853994,"Multidimensional Assessment of Emotion Regulation and Dysregulation: Development, Factor Structure, and Initial Validation of the Difficulties in Emotion Regulation Scale",Kim L. Gratz; Lizabeth Roemer,Kim L. Gratz,2003.0,10.1023/b:joba.0000007455.08539.94,,,,Journal of Psychopathology and Behavioral Assessment,26,1,41-54,Springer Science and Business Media LLC,en,https://doi.org/10.1023/b:joba.0000007455.08539.94,0.9,resolved,openalex,2026-08-16T22:31:31Z,X008,"Given recent attention to emotion regulation as a potentially unifying function of diverse symptom presentations, there is a need for comprehensive measures that adequately assess difficulties in emotion regulation among adults. This paper (a) proposes an integrative conceptualization of emotion regulation as involving not just the modulation of emotional arousal, but also the awareness, understanding, and acceptance of emotions, and the ability to act in desired ways regardless of emotional state; and (b) begins to explore the factor structure and psychometric properties of a new measure, the Difficulties in Emotion Regulation Scale (DERS). Two samples of undergraduate students completed questionnaire packets. Preliminary findings suggest that the DERS has high internal consistency, good test–retest reliability, and adequate construct and predictive validity.",Psychology; Conceptualization; Construct validity; Construct (python library); Scale (ratio); Arousal; Internal consistency; Reliability (semiconductor); Emotional regulation; Cognitive psychology; Exploratory factor analysis; Predictive validity,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'unpaywall'}","{'crossref': 7, 'unpaywall': 1}","X008.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR; abstract:UN | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A237,101038mp200865,A neural model of voluntary and automatic emotion regulation: implications for understanding the pathophysiology and neurodevelopment of bipolar disorder,Mary L. Phillips; Cecile D. Ladouceur; Wayne C. Drevets,Mary L. Phillips,2008.0,10.1038/mp.2008.65,https://pubmed.ncbi.nlm.nih.gov/18574483,,,Molecular Psychiatry,13,9,833-857,Springer Science and Business Media LLC,en,https://doi.org/10.1038/mp.2008.65,0.9,resolved,openalex,2026-08-16T22:31:37Z,X008,"The ability to regulate emotions is an important part of adaptive functioning in society. Advances in cognitive and affective neuroscience and biological psychiatry have facilitated examination of neural systems that may be important for emotion regulation. In this critical review we first develop a neural model of emotion regulation that includes neural systems implicated in different voluntary and automatic emotion regulatory subprocesses. We then use this model as a theoretical framework to examine functional neural abnormalities in these neural systems that may predispose to the development of a major psychiatric disorder characterized by severe emotion dysregulation, bipolar disorder.",Bipolar disorder; Psychology; Neural system; Neuroscience; Cognition; Neuroplasticity; Cognitive psychology; Cognitive science,True,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'unpaywall'}","{'crossref': 7, 'unpaywall': 1}","X008.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:UN | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A242,101002jclp20857,Effects of mindfulness‐based stress reduction on emotional experience and expression: a randomized controlled trial,Clive J. Robins; Shian‐Ling Keng; Andrew Ekblad; Jeffrey G. Brantley,Clive J. Robins,2011.0,10.1002/jclp.20857,https://pubmed.ncbi.nlm.nih.gov/22144347,,,Journal of Clinical Psychology,68,1,117-131,Wiley,en,https://doi.org/10.1002/jclp.20857,0.9,resolved,openalex,2026-08-16T22:31:42Z,X008,"OBJECTIVES: Mindfulness-based stress reduction (MBSR) has been found to reduce psychological distress and improve psychological adjustment in medical, psychiatric, and nonclinical samples. We examined its effects on several processes, attitudes, and behavior patterns related to emotion regulation. DESIGN: Fifty-six adults were randomly assigned to MBSR or to a waiting list (WL). RESULTS: Compared with WL completers (n = 21), MBSR completers (n = 20) reported significantly greater increases in trait mindfulness and decreases in absent-mindedness, greater increases in self-compassion, and decreases in fear of emotions, suppression of anger, aggressive anger expression, worry, and difficulties regulating emotions. The WL group subsequently received MBSR, and the two groups combined showed significant changes on all of these variables from pre-MBSR to post-MBSR, and on all except the 2 anger variables from pre-test to 2-month follow-up, as well as significant reductions in rumination. CONCLUSION: An 8-week mindfulness training program might increase mindful awareness in daily life and have beneficial impact on clinically relevant emotion regulation processes.",Mindfulness; Psychology; Clinical psychology; Rumination; Anger; Mindfulness-based stress reduction; Randomized controlled trial; Worry; Stress reduction; Distress; Trait; Self-compassion,False,article,True,True,False,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X008.R000 resolved | hits:OA,CR | winner:- | filled:venue:CR; lang:CR | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A243,101016jcopsyc201502010,"Examining emotion regulation as an outcome, mechanism, or target of psychological treatments",Kim L. Gratz; Nicole H. Weiss; Matthew T. Tull,Kim L. Gratz,2015.0,10.1016/j.copsyc.2015.02.010,https://pubmed.ncbi.nlm.nih.gov/25859561,,,Current Opinion in Psychology,3,,85-90,Elsevier BV,en,https://doi.org/10.1016/j.copsyc.2015.02.010,0.9,resolved,openalex,2026-08-16T22:31:42Z,X008,"This paper reviews the extant literature on emotion regulation (ER) in psychological interventions. First, we review current conceptualizations of ER, highlighting a model with established clinical utility (particularly with regard to the development of new interventions and modification of existing interventions). Next, we review the literature on the effects of psychological interventions on ER, from traditional cognitive-behavioral and acceptance-based behavioral interventions that do not target ER directly to treatments that directly target ER as one component of a larger or more comprehensive treatment, as well as the preliminary research examining ER as a mechanism of change in these treatments. Finally, extant data on three treatments developed specifically to address ER are reviewed, with an emphasis on the ER-specific treatment with the most empirical support to date (emotion regulation group therapy).",Extant taxon; Psychological intervention; Psychology; Mechanism (biology); Psychotherapist; Acceptance and commitment therapy; Outcome (game theory); Cognition; Cognitive behavioral therapy; Clinical psychology; Intervention (counseling); Neuroscience,False,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref', 'abstract': 'semanticscholar'}","{'crossref': 6, 'semanticscholar': 1}","X008.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR; abstract:SE | missing:-",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.7, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
A253,101016jcpr200911004,Emotion-regulation strategies across psychopathology: A meta-analytic review,Amelia Aldao; Susan Nolen–Hoeksema; Susanne Schweizer,Amelia Aldao,2009.0,10.1016/j.cpr.2009.11.004,https://pubmed.ncbi.nlm.nih.gov/20015584,,,Clinical Psychology Review,30,2,217-237,Elsevier BV,en,https://doi.org/10.1016/j.cpr.2009.11.004,0.9,resolved,openalex,2026-08-16T22:31:52Z,X008,,Psychopathology; Psychology; Rumination; Cognitive reappraisal; Expressive Suppression; Anxiety; Normative; Clinical psychology; Cognition; Eating disorders; Population; Meta-analysis,False,article,True,True,True,doi,,"{'venue': 'crossref', 'volume': 'crossref', 'issue': 'crossref', 'pages': 'crossref', 'publisher': 'crossref', 'url': 'crossref', 'lang': 'crossref'}",{'crossref': 7},"X008.R000 resolved | hits:OA,CR,S2 | winner:- | filled:venue:CR; lang:CR | missing:abstract",PASS_CLEAN,,,"H4-5,H4-6",,"{""H4-5"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.9, ""threshold"": 0.6, ""field"": ""keywords"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}, ""H4-6"": {""status"": ""MET"", ""decision"": ""not_meet"", ""confidence"": 0.8, ""threshold"": 0.6, ""field"": ""abstract"", ""quote"": """", ""quote_valid"": false, ""span"": null, ""used"": true}}",PASS_CLEAN: all EL criteria MET.
